"Archivo","Ruta","Línea","Contenido","Patrón"
"config.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","88","if (strlen($jwt) < 32) error_log('ADVERTENCIA: JWT_SECRET < 32 caracteres');","strlen\s*\(\s*\$\w+\s*\)"
"config.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","88","if (strlen($jwt) < 32) error_log('ADVERTENCIA: JWT_SECRET < 32 caracteres');","if\s*\(\s*strlen"
"applications.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","247","INSERT INTO bt_applications (candidate_id, job_id, status, cover_letter, created_at, updated_at)","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"auth.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","95","if (strlen($password) < 6) {","strlen\s*\(\s*\$\w+\s*\)"
"auth.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","95","if (strlen($password) < 6) {","if\s*\(\s*strlen"
"auth_register.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","73","if (strlen($password) < 6) {","strlen\s*\(\s*\$\w+\s*\)"
"auth_register.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","73","if (strlen($password) < 6) {","if\s*\(\s*strlen"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","367","$skillStmt = $pdo->prepare('INSERT INTO bt_candidate_skills (candidate_id, skill) VALUES (:candidate_id, :skill)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","371","if (!empty($cleanSkill) && strlen($cleanSkill) <= 100) {","strlen\s*\(\s*\$\w+\s*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","487","if (strlen($skill) > 100) {","strlen\s*\(\s*\$\w+\s*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","487","if (strlen($skill) > 100) {","if\s*\(\s*strlen"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","533","$skillStmt = $pdo->prepare('INSERT INTO bt_candidate_skills (candidate_id, skill) VALUES (:candidate_id, :skill)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","537","if (!empty($cleanSkill) && strlen($cleanSkill) <= 100) {","strlen\s*\(\s*\$\w+\s*\)"
"jobs.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","324","if (strlen($title) < 5 || strlen($title) > 100) {","strlen\s*\(\s*\$\w+\s*\)"
"jobs.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","324","if (strlen($title) < 5 || strlen($title) > 100) {","if\s*\(\s*strlen"
