"Archivo","Ruta","Línea","Contenido","Patrón"
"config.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","88","if (strlen($jwt) < 32) error_log('ADVERTENCIA: JWT_SECRET < 32 caracteres');","strlen\s*\(\s*\$\w+\s*\)"
"config.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","88","if (strlen($jwt) < 32) error_log('ADVERTENCIA: JWT_SECRET < 32 caracteres');","if\s*\(\s*strlen"
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","77","$text = substr($text, 0, $maxLength);","substr\s*\("
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","164","if (strlen($password) < 3) {","strlen\s*\(\s*\$\w+\s*\)"
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","164","if (strlen($password) < 3) {","if\s*\(\s*strlen"
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","166","} else if (strlen($password) > 255) {","strlen\s*\(\s*\$\w+\s*\)"
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","166","} else if (strlen($password) > 255) {","if\s*\(\s*strlen"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","55","if (strlen($password) < self::MIN_LENGTH) {","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","55","if (strlen($password) < self::MIN_LENGTH) {","if\s*\(\s*strlen"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","59","if (strlen($password) > self::MAX_LENGTH) {","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","59","if (strlen($password) > self::MAX_LENGTH) {","if\s*\(\s*strlen"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","114","for ($i = 0; $i < strlen($password) - 3; $i++) {","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","141","return ($maxRepeat / strlen($password)) > 0.5;","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","150","$length = strlen($password);","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","180","if (strlen($password) < 12) {","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","180","if (strlen($password) < 12) {","if\s*\(\s*strlen"
