"Path","LineNumber","Line"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\cv-schema-test.php","4","header('Access-Control-Allow-Origin: *');"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\cv-schema-test.php","5","header('Access-Control-Allow-Methods: POST, GET, OPTIONS');"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\cv-schema-test.php","6","header('Access-Control-Allow-Headers: Content-Type, Authorization');"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\jobs.php","4","header(""Access-Control-Allow-Origin: http://localhost:3002"");"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\jobs.php","5","header(""Access-Control-Allow-Methods: GET, POST, OPTIONS"");"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\jobs.php","6","header(""Access-Control-Allow-Headers: Content-Type, Authorization"");"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\jobs.php","7","header(""Access-Control-Allow-Credentials: true"");"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\save-candidate.php","17","header('Access-Control-Allow-Origin: http://localhost:3002');"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\save-candidate.php","18","header('Access-Control-Allow-Methods: POST, OPTIONS');"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\save-candidate.php","19","header('Access-Control-Allow-Headers: Content-Type, Authorization');"
"C:\laragon\www\bubble_of_talents_1.0\backend\public\auth-simple.php","2","header('Access-Control-Allow-Origin: http://localhost:5173');"
"C:\laragon\www\bubble_of_talents_1.0\backend\public\auth-simple.php","3","header('Access-Control-Allow-Methods: POST, GET, OPTIONS');"
"C:\laragon\www\bubble_of_talents_1.0\backend\public\auth-simple.php","4","header('Access-Control-Allow-Headers: Content-Type, Authorization');"
"C:\laragon\www\bubble_of_talents_1.0\backend\public\auth.php","2","header('Access-Control-Allow-Origin: http://localhost:5173');"
"C:\laragon\www\bubble_of_talents_1.0\backend\public\auth.php","3","header('Access-Control-Allow-Methods: POST, GET, OPTIONS');"
"C:\laragon\www\bubble_of_talents_1.0\backend\public\auth.php","4","header('Access-Control-Allow-Headers: Content-Type, Authorization');"
"C:\laragon\www\bubble_of_talents_1.0\backend\public\test_chatbot_crud.php","7","header('Access-Control-Allow-Origin: http://localhost:3002');"
"C:\laragon\www\bubble_of_talents_1.0\backend\public\test_chatbot_crud.php","8","header('Access-Control-Allow-Methods: GET, POST, PUT, DELETE, OPTIONS');"
"C:\laragon\www\bubble_of_talents_1.0\backend\public\test_chatbot_crud.php","9","header('Access-Control-Allow-Headers: Content-Type');"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\bootstrap.php","4","// Lee configuración desde .env y expone sendCorsHeaders() y preflightHandle()"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\bootstrap.php","36","function sendCorsHeaders()"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\chatbot.php","12","$responseHandler->setCorsHeaders();"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\auth copy.php","3","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\auth.php","3","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\bootstrap.php","42","  require_once BASE_PATH . '/cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\bootstrap.php","52","            require_once BASE_PATH . '/cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\language.php","3","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\request_info.php","3","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\test.php","10","  require_once BASE_PATH . '/cors.php'; "
"C:\laragon\www\bubble_of_talents_1.0\backend\auth\ping.php","4","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\auth\secure-login.php","3","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\auth\staff-login-simple.php","5","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\auth\staff-login.php","4","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\auth\verify-session.php","2","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\config\bootstrap.php","27","require_once BASE_PATH . '/cors.php'; // se aplicará solo 1 vez por request"
"C:\laragon\www\bubble_of_talents_1.0\backend\endpoints\jobs.php","2","require_once __DIR__ . '/../cors.php';"
"C:\laragon\www\bubble_of_talents_1.0\backend\config\config.php","284"," * Fuente primaria: variable de entorno CORS_ALLOWED_ORIGINS (lista separada por comas)."
"C:\laragon\www\bubble_of_talents_1.0\backend\config\config.php","289"," *   CORS_ALLOWED_ORIGINS=http://localhost:3000,http://127.0.0.1:3000,http://localhost:3002"
"C:\laragon\www\bubble_of_talents_1.0\backend\config\config.php","293","  $raw = config('CORS_ALLOWED_ORIGINS', 'http://localhost:3000,http://127.0.0.1:3000,http://localhost:3002');"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\bootstrap.php","47","    if (($_SERVER['REQUEST_METHOD'] ?? '') === 'OPTIONS') {"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\chatbot.php","14","// Manejar petición OPTIONS para CORS"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\chatbot.php","15","if ($_SERVER['REQUEST_METHOD'] === 'OPTIONS') {"
"C:\laragon\www\bubble_of_talents_1.0\backend\api\cv-schema-test.php","5","header('Access-Control-Allow-Methods: POST, GET, OPTIONS');"
